Team Name, Time to Goal, Date
Wenkai's_team, Nan, 2024-04-16 14:26:07
Team Name, Time to Goal, Date
Team Name, Time to Goal, Date
Team Name, Time to Goal, Date
Team Name, Time to Goal, Date
Team Name, Time to Goal, Date
Team Name, Time to Goal, Date
Wenkai's_team, Nan, 2024-04-16 14:48:54
Team Name, Time to Goal, Date
TA-Autonomy_Protocol, Nan, 2024-04-16 14:51:46
Team Name, Time to Goal, Date
Team Name, Time to Goal, Date
Team_D, Nan, 2024-04-16 14:58:37
Team Name, Time to Goal, Date
Team Name, Time to Goal, Date
Team_G, Nan, 2024-04-16 15:02:07
The_Quick_Quad, Nan, 2024-04-16 15:02:08
