Team Name, Clone URL
TA Protocol, git@gitlab.com:williamj.morrison/game-engine.git
Sine Nomine, git@gitlab.com:austin.case/game-engine.git
Autobots, git@gitlab.com:zacharypyle9/game-engine.git
The Winners, git@gitlab.com:RileyVaz/game-engine.git
Balloon Terminators, git@gitlab.com:miranda.lambert/game-engine.git
On The Fly, git@gitlab.com:ase479w/on-the-fly/game-engine.git
SMACKS, git@gitlab.com:mav112358/game-engine.git
Krash And Burn, git@gitlab.com:brandonhuynh/game-engine.git
The Procrastinators: Endgame, git@gitlab.com:JacobYan/game-engine.git
MIA, git@gitlab.com:jaricaurte/game-engine.git
